주차장명,주차대수,year
여의도5주차장,398,2023
여의도4주차장,236,2023
여의도3주차장,1459,2023
여의도1주차장,2084,2023
여의도2주차장,1084,2023
여의도1주차장,1595,2023
여의도5주차장,364,2023
여의도4주차장,234,2023
여의도3주차장,1322,2023
여의도4주차장,61,2023
여의도1주차장,2890,2023
여의도2주차장,1226,2023
여의도3주차장,1972,2023
여의도5주차장,163,2023
여의도5주차장,243,2023
여의도1주차장,2910,2023
여의도4주차장,54,2023
여의도3주차장,1614,2023
여의도2주차장,1476,2023
여의도4주차장,249,2023
여의도5주차장,343,2023
여의도2주차장,1314,2023
여의도1주차장,2705,2023
여의도3주차장,1545,2023
여의도3주차장,1404,2023
여의도1주차장,2360,2023
여의도4주차장,219,2023
여의도5주차장,341,2023
여의도2주차장,1222,2023
여의도2주차장,1199,2023
여의도3주차장,1526,2023
여의도4주차장,236,2023
여의도5주차장,332,2023
여의도1주차장,2420,2023
여의도2주차장,828,2023
여의도1주차장,2727,2023
여의도4주차장,233,2023
여의도3주차장,1554,2023
여의도5주차장,372,2023
여의도1주차장,2387,2023
여의도4주차장,212,2023
여의도3주차장,1464,2023
여의도2주차장,1072,2023
여의도5주차장,312,2023
여의도1주차장,2391,2023
여의도3주차장,1918,2023
여의도2주차장,1007,2023
여의도5주차장,200,2023
여의도4주차장,36,2023
여의도1주차장,3285,2023
여의도4주차장,62,2023
여의도2주차장,1630,2023
여의도3주차장,1530,2023
여의도5주차장,242,2023
여의도5주차장,328,2023
여의도2주차장,1208,2023
여의도4주차장,237,2023
여의도1주차장,2372,2023
여의도3주차장,1560,2023
여의도3주차장,1465,2023
여의도1주차장,2135,2023
여의도4주차장,232,2023
여의도5주차장,311,2023
여의도2주차장,1010,2023
여의도3주차장,1344,2023
여의도2주차장,984,2023
여의도5주차장,282,2023
여의도4주차장,223,2023
여의도1주차장,1940,2023
여의도1주차장,1806,2023
여의도2주차장,840,2023
여의도3주차장,1175,2023
여의도4주차장,218,2023
여의도5주차장,364,2023
여의도5주차장,348,2023
여의도4주차장,233,2023
여의도2주차장,944,2023
여의도1주차장,1692,2023
여의도3주차장,1152,2023
여의도4주차장,36,2023
여의도2주차장,545,2023
여의도5주차장,97,2023
여의도1주차장,1369,2023
여의도3주차장,938,2023
여의도4주차장,57,2023
여의도5주차장,132,2023
여의도3주차장,846,2023
여의도2주차장,928,2023
여의도1주차장,1848,2023
여의도1주차장,2234,2023
여의도2주차장,1209,2023
여의도5주차장,328,2023
여의도4주차장,63,2023
여의도3주차장,1365,2023
여의도1주차장,1950,2023
여의도3주차장,1227,2023
여의도4주차장,220,2023
여의도2주차장,1219,2023
여의도5주차장,149,2023
여의도3주차장,1265,2023
여의도1주차장,1916,2023
여의도5주차장,298,2023
